iter 70: loss 2.7654, time 16.87ms, mfu 0.03%
iter 71: loss 2.7237, time 16.61ms, mfu 0.03%
iter 72: loss 2.7831, time 16.74ms, mfu 0.03%
iter 73: loss 2.7627, time 15.19ms, mfu 0.03%
iter 74: loss 2.7541, time 14.99ms, mfu 0.03%
iter 75: loss 2.7656, time 16.69ms, mfu 0.03%
iter 76: loss 2.7760, time 15.81ms, mfu 0.03%
iter 77: loss 2.7013, time 15.64ms, mfu 0.03%
iter 78: loss 2.7469, time 15.48ms, mfu 0.03%
iter 79: loss 2.6560, time 16.31ms, mfu 0.03%
iter 80: loss 2.6979, time 16.35ms, mfu 0.03%
iter 81: loss 2.7650, time 16.44ms, mfu 0.03%
iter 82: loss 2.6538, time 16.63ms, mfu 0.03%
iter 83: loss 2.6731, time 16.92ms, mfu 0.03%
iter 84: loss 2.6515, time 16.52ms, mfu 0.03%
iter 85: loss 2.6662, time 16.50ms, mfu 0.03%
iter 86: loss 2.7060, time 16.62ms, mfu 0.03%
iter 87: loss 2.6907, time 16.28ms, mfu 0.03%
iter 88: loss 2.6232, time 16.41ms, mfu 0.03%
iter 89: loss 2.6914, time 15.90ms, mfu 0.03%
iter 90: loss 2.6598, time 15.56ms, mfu 0.03%
iter 91: loss 2.5986, time 17.05ms, mfu 0.03%
iter 92: loss 2.6097, time 16.76ms, mfu 0.03%
iter 93: loss 2.7174, time 16.43ms, mfu 0.03%
iter 94: loss 2.6725, time 16.87ms, mfu 0.03%
iter 95: loss 2.6304, time 16.46ms, mfu 0.03%
iter 96: loss 2.6495, time 16.85ms, mfu 0.03%
iter 97: loss 2.6447, time 16.34ms, mfu 0.03%
iter 98: loss 2.6094, time 16.77ms, mfu 0.03%
iter 99: loss 2.6151, time 16.92ms, mfu 0.03%
iter 100: loss 2.6150, time 16.36ms, mfu 0.03%
iter 101: loss 2.5854, time 16.53ms, mfu 0.03%
iter 102: loss 2.6501, time 16.53ms, mfu 0.03%
iter 103: loss 2.5869, time 17.32ms, mfu 0.03%
iter 104: loss 2.5945, time 16.82ms, mfu 0.03%
iter 105: loss 2.5743, time 17.62ms, mfu 0.03%
iter 106: loss 2.6177, time 16.78ms, mfu 0.03%
iter 107: loss 2.6265, time 17.89ms, mfu 0.03%
iter 108: loss 2.6334, time 19.24ms, mfu 0.03%
iter 109: loss 2.6552, time 18.17ms, mfu 0.03%
iter 110: loss 2.6497, time 20.96ms, mfu 0.03%
iter 111: loss 2.6226, time 18.39ms, mfu 0.03%
iter 112: loss 2.5813, time 19.05ms, mfu 0.03%
iter 113: loss 2.5419, time 19.12ms, mfu 0.03%
iter 114: loss 2.5812, time 19.22ms, mfu 0.03%
iter 115: loss 2.6063, time 19.05ms, mfu 0.03%
iter 116: loss 2.5910, time 18.85ms, mfu 0.03%
iter 117: loss 2.4891, time 20.02ms, mfu 0.03%
iter 118: loss 2.5897, time 21.38ms, mfu 0.03%
iter 119: loss 2.5261, time 18.26ms, mfu 0.03%
iter 120: loss 2.6031, time 16.40ms, mfu 0.03%
iter 121: loss 2.5247, time 16.02ms, mfu 0.03%
iter 122: loss 2.6215, time 16.46ms, mfu 0.03%
iter 123: loss 2.5585, time 15.58ms, mfu 0.03%
iter 124: loss 2.5320, time 16.58ms, mfu 0.03%
iter 125: loss 2.5714, time 16.54ms, mfu 0.03%
iter 126: loss 2.5289, time 16.24ms, mfu 0.03%
iter 127: loss 2.6562, time 16.62ms, mfu 0.03%
iter 128: loss 2.5114, time 16.85ms, mfu 0.03%
iter 129: loss 2.5638, time 16.16ms, mfu 0.03%
iter 130: loss 2.5164, time 17.08ms, mfu 0.03%
iter 131: loss 2.6139, time 16.42ms, mfu 0.03%
iter 132: loss 2.5306, time 16.46ms, mfu 0.03%
iter 133: loss 2.5643, time 18.02ms, mfu 0.03%
iter 134: loss 2.5400, time 16.52ms, mfu 0.03%
iter 135: loss 2.5199, time 16.50ms, mfu 0.03%
iter 136: loss 2.5130, time 16.49ms, mfu 0.03%
iter 137: loss 2.5991, time 16.54ms, mfu 0.03%
iter 138: loss 2.5552, time 15.65ms, mfu 0.03%
iter 139: loss 2.5467, time 16.69ms, mfu 0.03%
iter 140: loss 2.4549, time 16.44ms, mfu 0.03%
iter 141: loss 2.5285, time 16.58ms, mfu 0.03%
iter 142: loss 2.4576, time 16.30ms, mfu 0.03%
iter 143: loss 2.5882, time 15.86ms, mfu 0.03%
iter 144: loss 2.6249, time 16.65ms, mfu 0.03%
iter 145: loss 2.5449, time 15.99ms, mfu 0.03%
iter 146: loss 2.5670, time 16.28ms, mfu 0.03%
iter 147: loss 2.4963, time 17.82ms, mfu 0.03%
iter 148: loss 2.5607, time 16.49ms, mfu 0.03%
iter 149: loss 2.5784, time 16.17ms, mfu 0.03%
iter 150: loss 2.5714, time 18.38ms, mfu 0.03%
iter 151: loss 2.4290, time 17.09ms, mfu 0.03%
iter 152: loss 2.5568, time 16.40ms, mfu 0.03%
iter 153: loss 2.5440, time 17.48ms, mfu 0.03%
iter 154: loss 2.5603, time 16.76ms, mfu 0.03%
iter 155: loss 2.6142, time 16.60ms, mfu 0.03%
iter 156: loss 2.4072, time 16.52ms, mfu 0.03%
iter 157: loss 2.5076, time 16.64ms, mfu 0.03%
iter 158: loss 2.5058, time 16.78ms, mfu 0.03%
iter 159: loss 2.6192, time 16.22ms, mfu 0.03%
iter 160: loss 2.4631, time 14.93ms, mfu 0.03%
iter 161: loss 2.4942, time 17.49ms, mfu 0.03%
iter 162: loss 2.5238, time 16.49ms, mfu 0.03%
iter 163: loss 2.5306, time 16.22ms, mfu 0.03%
iter 164: loss 2.4901, time 15.13ms, mfu 0.03%
iter 165: loss 2.5395, time 15.35ms, mfu 0.03%
iter 166: loss 2.5510, time 16.34ms, mfu 0.03%
iter 167: loss 2.4749, time 16.51ms, mfu 0.03%
iter 168: loss 2.5863, time 15.63ms, mfu 0.03%
iter 169: loss 2.5273, time 14.85ms, mfu 0.03%
iter 170: loss 2.4929, time 15.32ms, mfu 0.03%
iter 171: loss 2.5542, time 15.71ms, mfu 0.03%
iter 172: loss 2.5340, time 15.05ms, mfu 0.03%
iter 173: loss 2.4920, time 18.29ms, mfu 0.03%
iter 174: loss 2.5050, time 19.47ms, mfu 0.03%
iter 175: loss 2.5105, time 17.26ms, mfu 0.03%
iter 176: loss 2.5008, time 17.60ms, mfu 0.03%
iter 177: loss 2.4565, time 15.87ms, mfu 0.03%
iter 178: loss 2.5472, time 15.69ms, mfu 0.03%
iter 179: loss 2.5819, time 18.38ms, mfu 0.03%
iter 180: loss 2.5078, time 19.26ms, mfu 0.03%
iter 181: loss 2.5213, time 18.25ms, mfu 0.03%
iter 182: loss 2.4733, time 17.45ms, mfu 0.03%
iter 183: loss 2.4756, time 17.22ms, mfu 0.03%
iter 184: loss 2.5281, time 17.41ms, mfu 0.03%
iter 185: loss 2.5967, time 17.69ms, mfu 0.03%
iter 186: loss 2.4686, time 17.24ms, mfu 0.03%
iter 187: loss 2.5140, time 18.28ms, mfu 0.03%
iter 188: loss 2.4804, time 16.91ms, mfu 0.03%
iter 189: loss 2.4842, time 16.46ms, mfu 0.03%
iter 190: loss 2.4476, time 16.13ms, mfu 0.03%
iter 191: loss 2.4884, time 16.71ms, mfu 0.03%
iter 192: loss 2.6160, time 16.30ms, mfu 0.03%
iter 193: loss 2.4348, time 16.53ms, mfu 0.03%
iter 194: loss 2.3998, time 16.45ms, mfu 0.03%
iter 195: loss 2.5040, time 16.52ms, mfu 0.03%
iter 196: loss 2.4417, time 16.39ms, mfu 0.03%
iter 197: loss 2.3871, time 16.18ms, mfu 0.03%
iter 198: loss 2.4909, time 14.54ms, mfu 0.03%
iter 199: loss 2.4480, time 14.21ms, mfu 0.03%
iter 200: loss 2.4185, time 14.10ms, mfu 0.03%
iter 201: loss 2.4602, time 14.37ms, mfu 0.03%
iter 202: loss 2.4499, time 14.10ms, mfu 0.03%
iter 203: loss 2.5632, time 16.71ms, mfu 0.03%
iter 204: loss 2.4972, time 16.62ms, mfu 0.03%
iter 205: loss 2.5193, time 16.44ms, mfu 0.03%
iter 206: loss 2.4913, time 17.01ms, mfu 0.03%
iter 207: loss 2.5334, time 16.77ms, mfu 0.03%
iter 208: loss 2.5134, time 15.76ms, mfu 0.03%
iter 209: loss 2.4425, time 16.45ms, mfu 0.03%
iter 210: loss 2.4962, time 19.04ms, mfu 0.03%
iter 211: loss 2.4454, time 17.55ms, mfu 0.03%
iter 212: loss 2.4388, time 17.28ms, mfu 0.03%
iter 213: loss 2.4333, time 18.36ms, mfu 0.03%
iter 214: loss 2.5525, time 17.29ms, mfu 0.03%
iter 215: loss 2.5011, time 17.89ms, mfu 0.03%
iter 216: loss 2.5161, time 19.50ms, mfu 0.03%
iter 217: loss 2.4481, time 17.52ms, mfu 0.03%
iter 218: loss 2.3494, time 17.52ms, mfu 0.03%
iter 219: loss 2.4295, time 17.69ms, mfu 0.03%
iter 220: loss 2.4107, time 17.34ms, mfu 0.03%
iter 221: loss 2.4258, time 16.65ms, mfu 0.03%
iter 222: loss 2.4245, time 16.18ms, mfu 0.03%
iter 223: loss 2.4580, time 16.31ms, mfu 0.03%
iter 224: loss 2.4348, time 16.42ms, mfu 0.03%
iter 225: loss 2.4685, time 15.95ms, mfu 0.03%
iter 226: loss 2.3493, time 14.58ms, mfu 0.03%
iter 227: loss 2.4791, time 17.16ms, mfu 0.03%
iter 228: loss 2.4543, time 16.54ms, mfu 0.03%
iter 229: loss 2.4598, time 16.70ms, mfu 0.03%
iter 230: loss 2.4797, time 36.89ms, mfu 0.03%
iter 231: loss 2.4840, time 21.37ms, mfu 0.03%
iter 232: loss 2.4374, time 17.36ms, mfu 0.03%
iter 233: loss 2.4790, time 14.58ms, mfu 0.03%
iter 234: loss 2.6015, time 14.26ms, mfu 0.03%
iter 235: loss 2.4181, time 15.59ms, mfu 0.03%
iter 236: loss 2.5092, time 16.48ms, mfu 0.03%
iter 237: loss 2.4468, time 16.40ms, mfu 0.03%
iter 238: loss 2.5180, time 15.67ms, mfu 0.03%
iter 239: loss 2.4477, time 16.59ms, mfu 0.03%
iter 240: loss 2.4807, time 16.45ms, mfu 0.03%
iter 241: loss 2.5387, time 16.95ms, mfu 0.03%
iter 242: loss 2.5242, time 14.11ms, mfu 0.03%
iter 243: loss 2.5197, time 17.25ms, mfu 0.03%
iter 244: loss 2.5113, time 15.49ms, mfu 0.03%
iter 245: loss 2.3934, time 16.33ms, mfu 0.03%
iter 246: loss 2.4745, time 16.45ms, mfu 0.03%
iter 247: loss 2.4734, time 16.81ms, mfu 0.03%
