iter 70: loss 2.7759, time 25.59ms, mfu 0.04%
iter 71: loss 2.7402, time 26.87ms, mfu 0.04%
iter 72: loss 2.7877, time 24.30ms, mfu 0.04%
iter 73: loss 2.7894, time 31.29ms, mfu 0.04%
iter 74: loss 2.7287, time 26.40ms, mfu 0.04%
iter 75: loss 2.7492, time 26.97ms, mfu 0.04%
iter 76: loss 2.7261, time 25.27ms, mfu 0.04%
iter 77: loss 2.7449, time 24.49ms, mfu 0.04%
iter 78: loss 2.7069, time 25.70ms, mfu 0.04%
iter 79: loss 2.6746, time 26.10ms, mfu 0.04%
iter 80: loss 2.6727, time 29.27ms, mfu 0.04%
iter 81: loss 2.6591, time 30.19ms, mfu 0.04%
iter 82: loss 2.7097, time 27.83ms, mfu 0.04%
iter 83: loss 2.6924, time 27.19ms, mfu 0.04%
iter 84: loss 2.7505, time 27.75ms, mfu 0.04%
iter 85: loss 2.6661, time 26.88ms, mfu 0.04%
iter 86: loss 2.6433, time 26.96ms, mfu 0.04%
iter 87: loss 2.6641, time 26.17ms, mfu 0.04%
iter 88: loss 2.7112, time 27.67ms, mfu 0.04%
iter 89: loss 2.6729, time 27.85ms, mfu 0.04%
iter 90: loss 2.7164, time 23.97ms, mfu 0.04%
iter 91: loss 2.6642, time 25.87ms, mfu 0.04%
iter 92: loss 2.6923, time 30.14ms, mfu 0.04%
iter 93: loss 2.6655, time 28.90ms, mfu 0.04%
iter 94: loss 2.6599, time 25.11ms, mfu 0.04%
iter 95: loss 2.5889, time 26.62ms, mfu 0.04%
iter 96: loss 2.6601, time 28.64ms, mfu 0.04%
iter 97: loss 2.6636, time 26.32ms, mfu 0.04%
iter 98: loss 2.5203, time 27.28ms, mfu 0.04%
iter 99: loss 2.6536, time 27.53ms, mfu 0.04%
iter 100: loss 2.6063, time 28.58ms, mfu 0.04%
iter 101: loss 2.6556, time 27.76ms, mfu 0.04%
iter 102: loss 2.6770, time 24.93ms, mfu 0.04%
iter 103: loss 2.5756, time 27.72ms, mfu 0.04%
iter 104: loss 2.5487, time 27.74ms, mfu 0.04%
iter 105: loss 2.5665, time 31.81ms, mfu 0.04%
iter 106: loss 2.6450, time 28.24ms, mfu 0.04%
iter 107: loss 2.6615, time 24.00ms, mfu 0.04%
iter 108: loss 2.6281, time 28.34ms, mfu 0.04%
iter 109: loss 2.5880, time 31.83ms, mfu 0.04%
iter 110: loss 2.5838, time 31.48ms, mfu 0.04%
iter 111: loss 2.5524, time 28.95ms, mfu 0.04%
iter 112: loss 2.5745, time 27.49ms, mfu 0.04%
iter 113: loss 2.6181, time 27.35ms, mfu 0.04%
iter 114: loss 2.6303, time 31.58ms, mfu 0.03%
iter 115: loss 2.6987, time 31.75ms, mfu 0.03%
iter 116: loss 2.5995, time 33.52ms, mfu 0.03%
iter 117: loss 2.5588, time 34.10ms, mfu 0.03%
iter 118: loss 2.5954, time 32.88ms, mfu 0.03%
iter 119: loss 2.5947, time 29.43ms, mfu 0.03%
iter 120: loss 2.6237, time 27.02ms, mfu 0.03%
iter 121: loss 2.5574, time 28.63ms, mfu 0.03%
iter 122: loss 2.5406, time 29.47ms, mfu 0.03%
iter 123: loss 2.6233, time 28.49ms, mfu 0.03%
iter 124: loss 2.5663, time 30.74ms, mfu 0.03%
iter 125: loss 2.5546, time 29.42ms, mfu 0.03%
iter 126: loss 2.5582, time 31.61ms, mfu 0.03%
iter 127: loss 2.5907, time 32.64ms, mfu 0.03%
iter 128: loss 2.5543, time 33.36ms, mfu 0.03%
iter 129: loss 2.6516, time 29.44ms, mfu 0.03%
iter 130: loss 2.5642, time 28.70ms, mfu 0.03%
iter 131: loss 2.5975, time 25.32ms, mfu 0.03%
iter 132: loss 2.6130, time 29.27ms, mfu 0.03%
iter 133: loss 2.5076, time 29.51ms, mfu 0.03%
iter 134: loss 2.4924, time 27.07ms, mfu 0.03%
iter 135: loss 2.5766, time 27.57ms, mfu 0.03%
iter 136: loss 2.6047, time 27.84ms, mfu 0.03%
iter 137: loss 2.5030, time 29.63ms, mfu 0.03%
iter 138: loss 2.4724, time 25.20ms, mfu 0.03%
iter 139: loss 2.5898, time 24.78ms, mfu 0.04%
iter 140: loss 2.5284, time 24.91ms, mfu 0.04%
