iter 69: loss 2.7578, time 18.39ms, mfu 0.03%
iter 70: loss 2.7658, time 18.98ms, mfu 0.03%
iter 71: loss 2.7233, time 18.23ms, mfu 0.03%
iter 72: loss 2.7826, time 17.88ms, mfu 0.03%
iter 73: loss 2.7630, time 18.93ms, mfu 0.03%
iter 74: loss 2.7559, time 19.85ms, mfu 0.03%
iter 75: loss 2.7667, time 18.12ms, mfu 0.03%
iter 76: loss 2.7787, time 18.64ms, mfu 0.03%
iter 77: loss 2.7019, time 19.09ms, mfu 0.03%
iter 78: loss 2.7475, time 18.88ms, mfu 0.03%
iter 79: loss 2.6571, time 17.65ms, mfu 0.03%
iter 80: loss 2.6988, time 18.46ms, mfu 0.03%
iter 81: loss 2.7676, time 18.77ms, mfu 0.03%
iter 82: loss 2.6544, time 18.64ms, mfu 0.03%
iter 83: loss 2.6739, time 18.52ms, mfu 0.03%
iter 84: loss 2.6522, time 31.61ms, mfu 0.03%
iter 85: loss 2.6669, time 19.25ms, mfu 0.03%
iter 86: loss 2.7061, time 17.44ms, mfu 0.03%
iter 87: loss 2.6887, time 19.57ms, mfu 0.03%
iter 88: loss 2.6249, time 16.18ms, mfu 0.03%
iter 89: loss 2.6889, time 19.33ms, mfu 0.03%
iter 90: loss 2.6600, time 18.60ms, mfu 0.03%
iter 91: loss 2.5980, time 18.30ms, mfu 0.03%
iter 92: loss 2.6085, time 18.39ms, mfu 0.03%
iter 93: loss 2.7167, time 18.11ms, mfu 0.03%
iter 94: loss 2.6733, time 19.17ms, mfu 0.03%
iter 95: loss 2.6325, time 18.17ms, mfu 0.03%
iter 96: loss 2.6488, time 20.70ms, mfu 0.03%
iter 97: loss 2.6457, time 19.80ms, mfu 0.03%
iter 98: loss 2.6087, time 18.73ms, mfu 0.03%
iter 99: loss 2.6132, time 18.53ms, mfu 0.03%
iter 100: loss 2.6151, time 18.62ms, mfu 0.03%
iter 101: loss 2.5868, time 20.63ms, mfu 0.03%
iter 102: loss 2.6517, time 17.67ms, mfu 0.03%
iter 103: loss 2.5912, time 19.33ms, mfu 0.03%
iter 104: loss 2.5949, time 22.11ms, mfu 0.03%
iter 105: loss 2.5771, time 18.96ms, mfu 0.03%
iter 106: loss 2.6207, time 18.91ms, mfu 0.03%
iter 107: loss 2.6273, time 19.47ms, mfu 0.03%
iter 108: loss 2.6361, time 19.05ms, mfu 0.03%
iter 109: loss 2.6561, time 18.12ms, mfu 0.03%
iter 110: loss 2.6510, time 20.16ms, mfu 0.03%
iter 111: loss 2.6235, time 18.56ms, mfu 0.03%
iter 112: loss 2.5805, time 17.69ms, mfu 0.03%
iter 113: loss 2.5424, time 18.55ms, mfu 0.03%
iter 114: loss 2.5788, time 18.36ms, mfu 0.03%
iter 115: loss 2.6067, time 19.83ms, mfu 0.03%
iter 116: loss 2.5922, time 18.04ms, mfu 0.03%
iter 117: loss 2.4903, time 18.53ms, mfu 0.03%
iter 118: loss 2.5896, time 17.68ms, mfu 0.03%
iter 119: loss 2.5279, time 18.67ms, mfu 0.03%
iter 120: loss 2.6054, time 18.62ms, mfu 0.03%
iter 121: loss 2.5222, time 19.36ms, mfu 0.03%
iter 122: loss 2.6242, time 18.22ms, mfu 0.03%
iter 123: loss 2.5576, time 19.05ms, mfu 0.03%
iter 124: loss 2.5339, time 19.89ms, mfu 0.03%
iter 125: loss 2.5715, time 18.37ms, mfu 0.03%
iter 126: loss 2.5293, time 19.52ms, mfu 0.03%
iter 127: loss 2.6558, time 18.51ms, mfu 0.03%
iter 128: loss 2.5106, time 19.08ms, mfu 0.03%
iter 129: loss 2.5609, time 19.28ms, mfu 0.03%
iter 130: loss 2.5160, time 18.48ms, mfu 0.03%
